C0205312	associated_morphology_of	C1571705
C0001551	direct_substance_of	C0085533
C0025202	associated_morphology_of	C0220633
C0205312	associated_morphology_of	C1306837
C0520679	associated_morphology_of	C4724574
C4724574	associated_morphology_of	C0520679
C1266158	associated_morphology_of	C0205851
C0221198	associated_morphology_of	C0678222
C0006141	finding_site_of	C1704272
C0030193	focus_of	C4526766
C0252409	component_of	C1332080
C1332080	component_of	C0252409
C0030193	interprets	C4683877
C0007589	associated_morphology_of	C0205312
C0085533	direct_substance_of	C0677850
C0018133	associated_morphology_of	C0205617
C0001418	associated_morphology_of	C0001420
C0001418	associated_morphology_of	C0206685
C0028754	associated_morphology_of	C2936179
C1513712	associated_morphology_of	C0032949
C0007097	associated_morphology_of	C0206623
C0035028	interprets	C0020538
C0012167	interprets	C1262477
C1262477	interprets	C0012167
C0030193	focus_of	C0564405
C0019158	finding_site_of	C0019154
C0024299	associated_morphology_of	C4524188
C0007134	associated_morphology_of	C0678222
C0007130	associated_morphology_of	C0205195
C0205292	associated_morphology_of	C0205195
C0085533	direct_substance_of	C0013216
C0584884	finding_site_of	C0205195
C1880198	method_of	C2348095
C0041296	associated_morphology_of	C0041312
C0023418	associated_morphology_of	C0457242
C0030193	focus_of	C1705822
C0345904	associated_morphology_of	C0006826
C0028754	associated_morphology_of	C2351322
C0030193	interprets	C4050142
C0030193	focus_of	C0747141
C0596394	finding_site_of	C0030193
C1262477	interprets	C0043100
C0205851	associated_morphology_of	C0205225
C0205851	associated_morphology_of	C0524466
C0205851	associated_morphology_of	C0220620
C0220620	associated_morphology_of	C0205851
C1262477	interprets	C0424657
C0001074	finding_site_of	C0030193
C0041296	cause_of	C2931689
C0020538	focus_of	C0684167
C0205312	associated_morphology_of	C0205182
C0221198	associated_morphology_of	C0205312
C0242339	interprets	C0552369
C1262477	interprets	C0005893
C1880198	interprets	C2939150
C0030193	interprets	C3540678
C0333559	associated_morphology_of	C0231221
C0263874	finding_site_of	C0231221
C0007097	associated_morphology_of	C0684249
C1262477	interprets	C0301630
C0030193	associated_morphology_of	C0231780
C1522166	interprets	C0030193
C0030193	is_modification_of	C1512523
C0009250	associated_morphology_of	C0041296
C0032207	direct_substance_of	C0205195
C0684224	interprets	C0030193
C0030193	interprets	C0684224
C0030193	occurs_after	C0019360
C0001527	finding_site_of	C0028754
C0027651	associated_morphology_of	C0205618
C1150999	finding_site_of	C0027567
C0180459	finding_site_of	C0027567
C0041296	associated_morphology_of	C0041326
C0030193	interprets	C1709694
C0013404	interprets	C0231832
C0023418	is_modification_of	C0059985
C0001418	associated_morphology_of	C0206696
C0025202	associated_morphology_of	C4331355
C0729595	direct_procedure_site_of	C0024203
C0012167	direct_substance_of	C1262477
C0025202	associated_morphology_of	C0278883
C0243067	associated_morphology_of	C0205195
C0028429	finding_site_of	C0205195
C1368683	associated_morphology_of	C0001418
C0013404	interprets	C4279947
C0041330	cause_of	C0041296
C0027912	associated_morphology_of	C1332682
C0027912	associated_morphology_of	C1265996
C1332682	associated_morphology_of	C0027912
C4721411	associated_morphology_of	C0205617
C0023418	associated_morphology_of	C0271568
C0023418	associated_morphology_of	C0332325
C0030193	interprets	C0596545
C0019134	direct_substance_of	C4763675
C4763675	direct_substance_of	C0019134
C0030193	associated_morphology_of	C0520588
C0413365	direct_substance_of	C0013216
C0013216	direct_substance_of	C0413365
C0030193	interprets	C0242483
C1262477	interprets	C0205265
C0333348	associated_morphology_of	C0205195
C0001418	associated_morphology_of	C0007134
C0025202	associated_morphology_of	C0278881
C1262477	interprets	C1517945
C0023418	associated_morphology_of	C0023420
C0025202	associated_morphology_of	C0520484
C0001418	associated_morphology_of	C0003315
C0016658	associated_morphology_of	C0205195
C1261473	associated_morphology_of	C1332607
C0027912	associated_morphology_of	C1335302
C0027912	associated_morphology_of	C1138628
C1518471	interprets	C0030193
C0013687	associated_morphology_of	C0041296
C0021724	finding_site_of	C0013404
C0001418	associated_morphology_of	C0007121
C0205618	associated_morphology_of	C0002793
C0002793	associated_morphology_of	C0205618
C0023418	associated_morphology_of	C0543419
C0028754	associated_morphology_of	C0020488
C0027912	associated_morphology_of	C0206695
C1262477	interprets	C0002170
C0002170	interprets	C1262477
C1262477	interprets	C0017262
C0041296	component_of	C0087090
C0009429	direct_substance_of	C0205195
C1262477	interprets	C0376287
C0015695	associated_morphology_of	C0231221
C0013404	focus_of	C0086969
C0334044	associated_morphology_of	C0205615
C0042373	cause_of	C0011269
C0334567	associated_morphology_of	C0025202
C0025202	associated_morphology_of	C0334567
C0857121	cause_of	C0020538
C0588054	direct_procedure_site_of	C0024203
C0003090	associated_morphology_of	C0030193
C1335444	associated_morphology_of	C0205616
C0205616	associated_morphology_of	C1335444
C0001418	associated_morphology_of	C0039585
C0030193	focus_of	C1274136
C2712185	interprets	C1262477
C0883208	associated_morphology_of	C0024299
C0024299	associated_morphology_of	C0883208
C0001973	interprets	C0394996
C0030193	interprets	C2985739
C0040578	finding_site_of	C0004096
C0677944	direct_procedure_site_of	C0024203
C1262477	interprets	C0443303
C0221198	associated_morphology_of	C0521362
C1402315	associated_morphology_of	C0042373
C0030193	interprets	C0948482
C0030193	interprets	C0439092
C0023418	associated_morphology_of	C3890400
C3890400	associated_morphology_of	C0023418
C1261473	associated_morphology_of	C0205825
C1261473	associated_morphology_of	C0205824
C1332314	associated_morphology_of	C0678222
C0004096	focus_of	C1319219
C0206330	finding_site_of	C0231221
C1865343	finding_site_of	C0231221
C0019944	associated_morphology_of	C0019158
C0020971	associated_morphology_of	C0019158
C0221423	associated_morphology_of	C0019158
C0014074	associated_morphology_of	C0019158
C1518416	associated_morphology_of	C0019158
C0003445	associated_morphology_of	C0019158
C0008107	associated_morphology_of	C0019158
C0221910	finding_site_of	C1182670
C1182670	finding_site_of	C0221910
C1261473	associated_morphology_of	C0748505
C0025202	associated_morphology_of	C0006416
C0242939	direct_substance_of	C0085533
C0001418	associated_morphology_of	C0252642
C0069515	component_of	C1414313
C0027088	finding_site_of	C0205195
C0025202	associated_morphology_of	C1708565
C1708565	associated_morphology_of	C0025202
C1261473	associated_morphology_of	C4727079
C0024299	associated_morphology_of	C1708790
C0001418	associated_morphology_of	C0001246
C0024299	associated_morphology_of	C0349632
C0037253	finding_site_of	C0030193
C0030193	associated_morphology_of	C0151825
C3640014	interprets	C0030193
C0030193	associated_finding_of	C3640014
C0025202	associated_morphology_of	C0699893
C0007272	finding_site_of	C0231221
C0030193	interprets	C0430838
C0005001	associated_morphology_of	C1704272
C0027651	associated_morphology_of	C1513712
C0030193	interprets	C0451530
C0007097	associated_morphology_of	C0001418
C0027912	associated_morphology_of	C0043515
C0025202	associated_morphology_of	C0026987
C0001418	associated_morphology_of	C0009402
C0549186	associated_morphology_of	C0024117
C0030193	focus_of	C0009647
C0030193	interprets	C3178784
C0376358	associated_morphology_of	C0030131
C0030131	associated_morphology_of	C0376358
C1262477	interprets	C1511559
C0678222	associated_morphology_of	C0065772
C0001418	associated_morphology_of	C0334276
C0010709	associated_morphology_of	C0231221
C1513712	associated_morphology_of	C0007130
C0019270	associated_morphology_of	C0205195
C0024299	associated_morphology_of	C1367654
C0024117	finding_site_of	C4724102
C0013404	interprets	C0444706
C0055860	active_ingredient_of	C0205195
C0205195	active_ingredient_of	C0055860
C0227843	finding_site_of	C0231221
C0024299	associated_morphology_of	C1368771
C1262477	interprets	C0205314
C0205312	associated_morphology_of	C0030354
C0521362	finding_site_of	C0267112
C0025202	associated_morphology_of	C0439201
C0345904	associated_morphology_of	C0279606
C0279606	associated_morphology_of	C0345904
C1709218	associated_morphology_of	C0027912
C0027912	associated_morphology_of	C1709218
C1518408	associated_morphology_of	C0025202
C1314939	associated_morphology_of	C0041296
C0025202	associated_morphology_of	C0596263
C1513712	associated_morphology_of	C0677930
C1458155	associated_morphology_of	C0678222
C1328818	finding_site_of	C0022658
C0025202	associated_morphology_of	C0333618
C1261473	associated_morphology_of	C0039101
C0041296	associated_morphology_of	C0041321
C0085533	direct_substance_of	C0001551
C0030193	interprets	C0439655
C0085533	direct_substance_of	C0436307
C0436307	direct_substance_of	C0085533
C0006826	associated_morphology_of	C0348374
C0242692	finding_site_of	C0231221
C0022116	associated_morphology_of	C0231221
C0153452	associated_morphology_of	C0206698
C1261473	associated_morphology_of	C1334008
C0003209	direct_substance_of	C0205195
C0030193	interprets	C0233702
C0678234	associated_morphology_of	C0231221
C0023418	associated_morphology_of	C0033027
C0030193	interprets	C0522510
C0421272	interprets	C1262477
C0023418	associated_morphology_of	C0023480
C0030193	focus_of	C1301707
C0205054	finding_site_of	C0019158
C0004096	focus_of	C2984299
C0030193	focus_of	C0078944
C0020538	cause_of	C0565599
C0040648	associated_morphology_of	C0027912
C0027912	associated_morphology_of	C1518340
C1518340	associated_morphology_of	C0027912
C0024299	associated_morphology_of	C0332147
C0333512	associated_morphology_of	C0041296
C0018188	associated_morphology_of	C0041296
C0444070	finding_site_of	C0678222
C0028754	focus_of	C0376607
C0206754	associated_morphology_of	C0205617
C0023418	associated_morphology_of	C1337080
